Date,Open_Yahoo,High_Yahoo,Low_Yahoo,Close_Yahoo,Volume_Yahoo,Open_Alpha,High_Alpha,Low_Alpha,Close_Alpha,Volume_Alpha,Open_Diff,High_Diff,Low_Diff,Close_Diff,Volume_Diff,Status
2026-02-18,198.41,203.2,195.0,200.12,35664100,198.405,203.2,195.0001,200.12,35664087,0.0049999999999954525,0.0,0.00010000000000331966,0.0,13,Match
2026-02-19,200.11,204.1,198.29,203.37,25842300,200.11,204.1,198.2939,203.37,25842274,0.0,0.0,0.0039000000000157797,0.0,26,Match
2026-02-20,200.12,204.87,198.56,200.15,36317300,200.115,204.87,198.56,200.15,36317256,0.0049999999999954525,0.0,0.0,0.0,44,Match
2026-02-23,198.09,199.38,194.15,196.6,28187900,198.09,199.38,194.15,196.6,28187909,0.0,0.0,0.0,0.0,9,Match
2026-02-24,211.63,216.71,206.5,213.84,81367000,211.63,216.71,206.5,213.84,81367020,0.0,0.0,0.0,0.0,20,Match
2026-02-25,214.82,216.7,210.33,210.86,44588100,214.82,216.7,210.33,210.86,44588059,0.0,0.0,0.0,0.0,41,Match
2026-02-26,208.8,209.79,201.46,203.68,35020500,208.8,209.79,201.46,203.68,35020472,0.0,0.0,0.0,0.0,28,Match
2026-02-27,200.11,201.89,197.74,200.21,31312400,200.105,201.89,197.74,200.21,31312396,0.005000000000023874,0.0,0.0,0.0,4,Match
2026-03-02,193.85,198.74,190.0,198.62,34120200,193.845,198.74,190.0,198.62,34120155,0.0049999999999954525,0.0,0.0,0.0,45,Match
2026-03-03,191.46,193.64,188.22,190.95,37785700,191.46,193.64,188.22,190.95,37785697,0.0,0.0,0.0,0.0,3,Match
2026-03-04,192.12,202.44,189.86,202.07,40912600,192.12,202.44,189.86,202.07,40912561,0.0,0.0,0.0,0.0,39,Match
2026-03-05,197.77,203.79,194.88,199.45,36000700,197.77,203.79,194.88,199.45,36000660,0.0,0.0,0.0,0.0,40,Match
2026-03-06,195.27,200.24,191.25,192.43,33913800,195.27,200.24,191.2501,192.43,33913779,0.0,0.0,0.00010000000000331966,0.0,21,Match
2026-03-09,189.36,202.97,189.02,202.68,38877200,189.36,202.97,189.02,202.68,38877220,0.0,0.0,0.0,0.0,20,Match
