Date,Open_Yahoo,High_Yahoo,Low_Yahoo,Close_Yahoo,Volume_Yahoo,Open_Alpha,High_Alpha,Low_Alpha,Close_Alpha,Volume_Alpha,Open_Diff,High_Diff,Low_Diff,Close_Diff,Volume_Diff,Status
2026-02-18,302.09,305.38,301.25,303.33,28482100,302.09,305.38,301.25,303.33,28482075,0.0,0.0,0.0,0.0,25,Match
2026-02-19,301.82,305.47,300.04,302.85,25834400,301.82,305.47,300.04,302.85,25834395,0.0,0.0,0.0,0.0,5,Match
2026-02-20,304.32,316.5,303.9,314.98,53210800,304.32,316.5,303.9,314.98,53210820,0.0,0.0,0.0,0.0,20,Match
2026-02-23,319.05,319.52,309.87,311.49,31423000,319.045,319.515,309.865,311.49,31422974,0.0049999999999954525,0.0049999999999954525,0.0049999999999954525,0.0,26,Match
2026-02-24,310.52,312.27,305.93,310.9,25615600,310.515,312.27,305.93,310.9,25615646,0.0049999999999954525,0.0,0.0,0.0,46,Match
2026-02-25,312.06,313.64,309.44,312.9,29963600,312.06,313.64,309.44,312.9,29963621,0.0,0.0,0.0,0.0,21,Match
2026-02-26,312.64,313.14,302.35,307.38,36431200,312.64,313.14,302.345,307.38,36431231,0.0,0.0,0.0049999999999954525,0.0,31,Match
2026-02-27,304.14,312.37,303.8,311.76,44640600,304.135,312.37,303.8,311.76,44640640,0.0049999999999954525,0.0,0.0,0.0,40,Match
2026-03-02,303.23,308.49,301.3,306.52,34790200,303.225,308.49,301.3,306.52,34790203,0.0049999999999954525,0.0,0.0,0.0,3,Match
2026-03-03,298.59,303.94,296.71,303.58,35497000,298.59,303.94,296.71,303.58,35496961,0.0,0.0,0.0,0.0,39,Match
2026-03-04,302.89,305.47,300.75,303.13,29536200,302.89,305.47,300.75,303.13,29536190,0.0,0.0,0.0,0.0,10,Match
2026-03-05,303.04,303.3,297.99,300.88,35752300,303.035,303.3,297.99,300.88,35752321,0.0049999999999954525,0.0,0.0,0.0,21,Match
2026-03-06,296.09,300.53,295.18,298.52,25576900,296.09,300.53,295.18,298.52,25576916,0.0,0.0,0.0,0.0,16,Match
2026-03-09,294.36,306.8,294.08,306.36,29312100,294.36,306.8,294.08,306.36,29312149,0.0,0.0,0.0,0.0,49,Match
2026-03-10,306.17,309.51,305.57,307.04,23239700,306.17,309.51,305.5704,307.04,23239684,0.0,0.0,0.0004000000000132786,0.0,16,Match
2026-03-11,306.75,311.42,305.92,308.7,24125700,306.75,311.42,305.92,308.7,24125714,0.0,0.0,0.0,0.0,14,Match
2026-03-12,306.82,308.94,301.03,303.55,24928300,306.82,308.94,301.03,303.55,24928347,0.0,0.0,0.0,0.0,47,Match
2026-03-13,307.01,307.69,300.44,302.28,23693100,307.01,307.69,300.44,302.28,23693092,0.0,0.0,0.0,0.0,8,Match
2026-03-16,304.35,306.49,303.02,305.56,23519700,304.35,306.4886,303.0201,305.56,23519709,0.0,0.0013999999999896318,0.00010000000003174137,0.0,9,Match
2026-03-17,305.86,311.42,305.5,310.92,21955200,305.86,311.42,305.5,310.92,21955171,0.0,0.0,0.0,0.0,29,Match
2026-03-18,309.27,312.47,306.93,307.69,20009800,309.27,312.47,306.932,307.69,20009815,0.0,0.0,0.0020000000000095497,0.0,15,Match
2026-03-19,304.01,308.06,302.35,307.13,25075800,304.005,308.06,302.35,307.13,25075831,0.0049999999999954525,0.0,0.0,0.0,31,Match
2026-03-20,305.46,306.0,298.27,301.0,44364100,305.46,306.0,298.27,301.0,44364079,0.0,0.0,0.0,0.0,21,Match
2026-03-23,302.11,305.98,300.93,302.06,29326900,302.11,305.98,300.93,302.06,29326946,0.0,0.0,0.0,0.0,46,Match
2026-03-24,299.2,299.92,290.33,290.44,36864300,299.2,299.92,290.33,290.44,36864278,0.0,0.0,0.0,0.0,22,Match
