Date,Open_Yahoo,High_Yahoo,Low_Yahoo,Close_Yahoo,Volume_Yahoo,Open_Alpha,High_Alpha,Low_Alpha,Close_Alpha,Volume_Alpha,Open_Diff,High_Diff,Low_Diff,Close_Diff,Volume_Diff,Status
2026-02-18,45.92,46.77,44.88,45.46,65306100,45.915,46.77,44.88,45.46,65306065,0.005000000000002558,0.0,0.0,0.0,35,Match
2026-02-19,44.95,45.17,43.92,44.62,72724900,44.95,45.17,43.92,44.62,72724938,0.0,0.0,0.0,0.0,38,Match
2026-02-20,43.89,44.39,42.88,44.11,90743600,43.89,44.39,42.88,44.11,90743566,0.0,0.0,0.0,0.0,34,Match
2026-02-23,44.09,44.55,43.18,43.63,57130900,44.09,44.55,43.18,43.63,57130909,0.0,0.0,0.0,0.0,9,Match
2026-02-24,44.1,46.6,43.54,46.12,98872300,44.095,46.6,43.54,46.12,98872271,0.005000000000002558,0.0,0.0,0.0,29,Match
2026-02-25,46.09,46.97,45.08,46.88,75645300,46.09,46.97,45.08,46.88,75645295,0.0,0.0,0.0,0.0,5,Match
2026-02-26,46.77,46.95,44.39,45.46,71457500,46.77,46.95,44.39,45.46,71457507,0.0,0.0,0.0,0.0,7,Match
2026-02-27,44.46,46.56,44.4,45.61,79327200,44.46,46.56,44.4,45.61,79327248,0.0,0.0,0.0,0.0,48,Match
2026-03-02,44.2,45.81,43.95,45.5,60705100,44.2,45.81,43.95,45.5,60705104,0.0,0.0,0.0,0.0,4,Match
2026-03-03,43.44,43.69,42.14,43.1,83971000,43.44,43.685,42.14,43.1,83971029,0.0,0.0049999999999954525,0.0,0.0,29,Match
2026-03-04,44.07,46.13,43.27,45.58,96628100,44.07,46.125,43.27,45.58,96628102,0.0,0.005000000000002558,0.0,0.0,2,Match
2026-03-05,44.87,46.48,44.7,45.95,78229400,44.87,46.48,44.7,45.95,78229421,0.0,0.0,0.0,0.0,21,Match
2026-03-06,44.67,45.18,43.28,43.42,74698300,44.67,45.18,43.28,43.42,74698310,0.0,0.0,0.0,0.0,10,Match
2026-03-09,42.74,45.76,41.64,45.58,82937400,42.74,45.76,41.64,45.58,82937382,0.0,0.0,0.0,0.0,18,Match
2026-03-10,45.41,47.88,45.41,46.78,85233300,45.41,47.875,45.41,46.78,85233306,0.0,0.005000000000002558,0.0,0.0,6,Match
2026-03-11,46.82,48.83,46.66,47.98,72480600,46.815,48.83,46.66,47.98,72480566,0.005000000000002558,0.0,0.0,0.0,34,Match
2026-03-12,47.4,47.44,45.17,45.25,85110200,47.4,47.435,45.17,45.25,85110211,0.0,0.0049999999999954525,0.0,0.0,11,Match
2026-03-13,45.97,46.65,45.39,45.77,68386200,45.97,46.65,45.39,45.77,68386151,0.0,0.0,0.0,0.0,49,Match
2026-03-16,47.91,49.17,45.69,45.76,114199400,47.91,49.17,45.69,45.76,114199390,0.0,0.0,0.0,0.0,10,Match
2026-03-17,46.08,46.08,43.91,44.06,89061600,46.08,46.08,43.91,44.06,89061571,0.0,0.0,0.0,0.0,29,Match
2026-03-18,44.2,45.71,44.05,45.03,78056200,44.2,45.705,44.052,45.03,78056208,0.0,0.005000000000002558,0.0020000000000024443,0.0,8,Match
2026-03-19,43.99,46.44,43.65,46.18,74051500,43.99,46.44,43.65,46.18,74051501,0.0,0.0,0.0,0.0,1,Match
2026-03-20,46.95,47.55,43.64,43.87,162814200,46.95,47.55,43.642,43.87,162814210,0.0,0.0,0.0020000000000024443,0.0,10,Match
2026-03-23,44.5,45.46,43.74,44.01,80772200,44.5,45.46,43.74,44.01,80772210,0.0,0.0,0.0,0.0,10,Match
2026-03-24,43.54,44.31,43.2,44.06,65323500,43.535,44.31,43.2,44.06,65323531,0.005000000000002558,0.0,0.0,0.0,31,Match
2026-03-25,45.85,47.85,45.45,47.18,97467900,45.85,47.845,45.45,47.18,97467909,0.0,0.005000000000002558,0.0,0.0,9,Match
2026-03-26,46.3,46.6,43.92,44.1,82841400,46.295,46.6,43.915,44.1,82841371,0.0049999999999954525,0.0,0.005000000000002558,0.0,29,Match
2026-03-27,43.62,44.13,42.86,43.13,70002200,43.62,44.13,42.86,43.13,70002236,0.0,0.0,0.0,0.0,36,Match
2026-03-30,43.72,43.99,40.63,41.19,84596000,43.72,43.99,40.63,41.19,84596011,0.0,0.0,0.0,0.0,11,Match
2026-03-31,41.95,44.23,41.6,44.13,95294900,41.95,44.23,41.6,44.13,95294892,0.0,0.0,0.0,0.0,8,Match
2026-04-01,45.0,48.77,44.98,48.03,129598500,45.0,48.77,44.98,48.03,129598509,0.0,0.0,0.0,0.0,9,Match
2026-04-02,46.06,50.49,46.04,50.38,117134200,46.06,50.49,46.04,50.38,117134237,0.0,0.0,0.0,0.0,37,Match
2026-04-06,50.88,52.39,49.87,50.78,79978800,50.88,52.385,49.87,50.78,79978811,0.0,0.005000000000002558,0.0,0.0,11,Match
2026-04-07,51.91,53.27,51.22,52.91,129543800,51.905,53.27,51.215,52.91,129543837,0.0049999999999954525,0.0,0.0049999999999954525,0.0,37,Match
2026-04-08,55.37,59.17,54.8,58.95,184599900,55.365,59.17,54.8,58.95,184599933,0.0049999999999954525,0.0,0.0,0.0,33,Match
2026-04-09,58.4,62.08,58.39,61.72,155609900,58.4,62.0799,58.39,61.72,155609887,0.0,9.999999999621423e-05,0.0,0.0,13,Match
2026-04-10,61.52,63.39,60.75,62.38,98624400,61.52,63.39,60.75,62.38,98624438,0.0,0.0,0.0,0.0,38,Match
2026-04-13,62.18,65.65,62.18,65.18,112111000,62.18,65.65,62.18,65.18,112110972,0.0,0.0,0.0,0.0,28,Match
2026-04-14,65.16,65.18,62.09,63.81,112796100,65.16,65.18,62.089,63.81,112796097,0.0,0.0,0.0010000000000047748,0.0,3,Match
2026-04-15,63.77,65.84,62.88,64.94,92051500,63.77,65.84,62.875,64.94,92051518,0.0,0.0,0.005000000000002558,0.0,18,Match
2026-04-16,64.93,68.61,64.27,68.5,108328300,64.93,68.61,64.272,68.5,108328309,0.0,0.0,0.0020000000000095497,0.0,9,Match
2026-04-17,68.85,70.33,67.74,68.5,118831500,68.85,70.325,67.735,68.5,118831534,0.0,0.0049999999999954525,0.0049999999999954525,0.0,34,Match
2026-04-20,68.45,69.21,64.47,65.7,96851100,68.45,69.205,64.47,65.7,96851067,0.0,0.0049999999999954525,0.0,0.0,33,Match
2026-04-21,67.14,67.67,65.64,66.26,91402300,67.14,67.67,65.64,66.26,91402314,0.0,0.0,0.0,0.0,14,Match
2026-04-22,67.94,68.77,64.98,65.27,90267300,67.935,68.77,64.98,65.27,90267286,0.0049999999999954525,0.0,0.0,0.0,14,Match
2026-04-23,66.1,68.28,65.42,66.78,155141800,66.1,68.28,65.42,66.78,155141780,0.0,0.0,0.0,0.0,20,Match
2026-04-24,82.2,85.22,79.62,82.54,281405200,82.2,85.22,79.62,82.54,281405214,0.0,0.0,0.0,0.0,14,Match
2026-04-27,83.67,87.1,82.61,84.99,178820200,83.67,87.1,82.61,84.99,178820193,0.0,0.0,0.0,0.0,7,Match
2026-04-28,81.28,84.59,80.8,84.52,147773500,81.28,84.59,80.8,84.52,147773466,0.0,0.0,0.0,0.0,34,Match
2026-04-29,86.14,94.95,85.87,94.75,235070900,86.135,94.95,85.87,94.75,235070906,0.0049999999999954525,0.0,0.0,0.0,6,Match
2026-04-30,95.6,95.69,91.5,94.48,160597300,95.6,95.69,91.5,94.48,160597313,0.0,0.0,0.0,0.0,13,Match
2026-05-01,93.2,100.45,92.61,99.62,158502800,93.2,100.45,92.61,99.62,158502811,0.0,0.0,0.0,0.0,11,Match
2026-05-04,99.18,99.82,95.6,95.78,119294000,99.18,99.82,95.6,95.78,119294030,0.0,0.0,0.0,0.0,30,Match
2026-05-05,100.51,110.48,100.08,108.15,198482000,100.505,110.48,100.08,108.15,198481963,0.005000000000009663,0.0,0.0,0.0,37,Match
2026-05-06,110.98,113.5,106.58,113.01,157320100,110.975,113.5,106.5801,113.01,157320083,0.005000000000009663,0.0,0.00010000000000331966,0.0,17,Match
2026-05-07,111.02,114.51,109.15,109.62,122699900,111.02,114.51,109.15,109.62,122699875,0.0,0.0,0.0,0.0,25,Match
2026-05-08,111.81,130.57,111.8,124.92,227681300,111.81,130.57,111.8,124.92,227681300,0.0,0.0,0.0,0.0,0,Match
2026-05-11,130.88,132.75,123.92,129.44,179486500,130.88,132.75,123.92,129.44,179486503,0.0,0.0,0.0,0.0,3,Match
2026-05-12,124.36,127.79,115.0,120.61,172516500,124.36,127.79,115.0,120.61,172516514,0.0,0.0,0.0,0.0,14,Match
2026-05-13,124.1,125.0,116.41,120.29,115364400,124.1,125.0,116.41,120.29,115364423,0.0,0.0,0.0,0.0,23,Match
2026-05-14,114.66,118.57,113.17,115.93,118279800,114.66,118.57,113.17,115.93,118279791,0.0,0.0,0.0,0.0,9,Match
2026-05-15,109.79,110.57,105.02,108.77,135206000,109.785,110.57,105.02,108.77,135205991,0.005000000000009663,0.0,0.0,0.0,9,Match
2026-05-18,113.47,115.54,103.85,108.17,145764000,113.47,115.54,103.85,108.17,145763995,0.0,0.0,0.0,0.0,5,Match
2026-05-19,106.98,113.07,102.4,110.8,150234900,106.98,113.0699,102.4,110.8,150234892,0.0,9.99999999891088e-05,0.0,0.0,8,Match
2026-05-20,116.22,121.94,114.8,118.96,165086900,116.22,121.94,114.8,118.96,162406643,0.0,0.0,0.0,0.0,2680257,Mismatch
2026-05-21,116.58,119.41,113.17,118.5,102452500,116.58,119.41,113.17,118.5,102452545,0.0,0.0,0.0,0.0,45,Match
2026-05-22,120.34,122.78,118.09,119.84,82663000,120.34,122.78,118.09,119.84,82663024,0.0,0.0,0.0,0.0,24,Match
2026-05-26,122.1,125.62,117.35,123.52,108167300,122.095,125.62,117.35,123.52,108167302,0.0049999999999954525,0.0,0.0,0.0,2,Match
2026-05-27,124.39,125.27,117.0,121.77,93323300,124.39,125.27,117.0,121.77,93323344,0.0,0.0,0.0,0.0,44,Match
2026-05-28,121.45,123.08,116.31,120.89,97321000,121.445,123.08,116.31,120.89,97320987,0.005000000000009663,0.0,0.0,0.0,13,Match
2026-05-29,123.85,126.64,113.54,114.68,191676100,123.85,126.64,113.54,114.68,191676126,0.0,0.0,0.0,0.0,26,Match
2026-06-01,109.43,113.3,106.33,109.33,134900400,109.43,113.3,106.33,109.33,134900437,0.0,0.0,0.0,0.0,37,Match
2026-06-02,107.45,109.0,104.17,107.93,106336200,107.45,109.0,104.17,107.93,106336209,0.0,0.0,0.0,0.0,9,Match
2026-06-03,116.42,118.29,110.86,112.71,118928800,116.42,118.29,110.86,112.71,118928807,0.0,0.0,0.0,0.0,7,Match
2026-06-04,108.4,113.14,107.48,111.78,77325800,108.4,113.14,107.4801,111.78,77325824,0.0,0.0,9.99999999891088e-05,0.0,24,Match
2026-06-05,106.48,106.48,98.33,99.17,145209400,106.48,106.48,98.33,99.17,145209405,0.0,0.0,0.0,0.0,5,Match
2026-06-08,111.0,112.54,106.66,110.27,136973900,111.0,112.54,106.66,110.27,136973898,0.0,0.0,0.0,0.0,2,Match
2026-06-09,112.99,114.0,99.46,107.92,149623100,112.99,113.998,99.46,107.92,149623108,0.0,0.001999999999995339,0.0,0.0,8,Match
2026-06-10,106.03,111.5,104.92,107.04,122653500,106.03,111.5,104.92,107.04,122653462,0.0,0.0,0.0,0.0,38,Match
2026-06-11,113.52,119.44,110.51,116.96,188430300,113.52,119.44,110.5118,116.96,188430320,0.0,0.0,0.0017999999999886995,0.0,20,Match
2026-06-12,117.42,127.6,115.33,124.57,151169400,117.415,127.6,115.33,124.57,151526758,0.0049999999999954525,0.0,0.0,0.0,357358,Mismatch
2026-06-15,129.49,132.61,126.66,127.86,134507500,129.49,132.61,126.66,127.86,134507523,0.0,0.0,0.0,0.0,23,Match
2026-06-16,125.11,128.7,116.0,117.05,132962600,125.105,128.7,116.0,117.05,132962556,0.0049999999999954525,0.0,0.0,0.0,44,Match
2026-06-17,121.85,125.2,118.06,121.1,115324900,121.85,125.2,118.06,121.1,115324920,0.0,0.0,0.0,0.0,20,Match
2026-06-18,131.81,135.48,127.9,133.99,233906600,131.805,135.48,127.9,133.99,233906555,0.0049999999999954525,0.0,0.0,0.0,45,Match
2026-06-22,139.12,141.45,136.21,140.94,127190600,139.12,141.45,136.21,140.94,127190553,0.0,0.0,0.0,0.0,47,Match
2026-06-23,129.73,137.98,128.3,132.28,132976700,129.73,137.98,128.3,132.28,132976743,0.0,0.0,0.0,0.0,43,Match
2026-06-24,133.05,136.08,127.95,131.65,104591700,133.045,136.08,127.95,131.65,104591698,0.005000000000023874,0.0,0.0,0.0,2,Match
2026-06-25,139.73,140.72,125.41,132.87,122588800,139.73,140.72,125.41,132.87,123120247,0.0,0.0,0.0,0.0,531447,Mismatch
2026-06-26,128.71,131.23,125.5,128.32,99475400,128.705,131.23,125.5,128.32,99475352,0.0049999999999954525,0.0,0.0,0.0,48,Match
2026-06-29,127.0,132.05,118.5,131.72,106805300,127.0,132.05,118.5,131.72,106805299,0.0,0.0,0.0,0.0,1,Match
2026-06-30,131.99,142.35,131.52,139.63,116996700,131.99,142.35,131.5201,139.63,116996685,0.0,0.0,0.00010000000000331966,0.0,15,Match
2026-07-01,135.0,135.74,126.68,127.02,113107200,135.0,135.7399,126.6805,127.02,113107246,0.0,0.00010000000000331966,0.0004999999999881766,0.0,46,Match
2026-07-02,128.92,130.74,117.63,120.35,124577600,128.915,130.74,117.63,120.35,125021717,0.0049999999999954525,0.0,0.0,0.0,444117,Mismatch
2026-07-06,122.57,127.3,121.52,122.2,86950200,122.57,127.3,121.52,122.2,86950209,0.0,0.0,0.0,0.0,9,Match
2026-07-07,116.3,116.47,108.3,110.39,140405900,116.3,116.47,108.3,110.39,140405927,0.0,0.0,0.0,0.0,27,Match
2026-07-08,108.3,110.49,104.41,110.24,105488100,108.3,110.49,104.41,110.24,105488080,0.0,0.0,0.0,0.0,20,Match
2026-07-09,114.87,116.77,111.51,112.54,99352500,114.87,116.7699,111.51,112.54,99352457,0.0,9.99999999891088e-05,0.0,0.0,43,Match
2026-07-10,109.58,110.85,107.45,109.84,70619700,109.575,110.85,107.45,109.84,70846601,0.0049999999999954525,0.0,0.0,0.0,226901,Mismatch
