Date,Open_Yahoo,High_Yahoo,Low_Yahoo,Close_Yahoo,Volume_Yahoo,Open_Alpha,High_Alpha,Low_Alpha,Close_Alpha,Volume_Alpha,Open_Diff,High_Diff,Low_Diff,Close_Diff,Volume_Diff,Status
2026-02-18,633.8,645.0,628.15,643.22,14649200,633.8,645.0,628.145,643.22,14649196,0.0,0.0,0.0049999999999954525,0.0,4,Match
2026-02-19,638.57,647.19,636.72,644.78,10035700,638.57,647.19,636.72,644.78,10035698,0.0,0.0,0.0,0.0,2,Match
2026-02-20,639.69,663.35,638.78,655.66,14183500,639.685,663.3499,638.78,655.66,14183512,0.005000000000109139,9.999999997489795e-05,0.0,0.0,12,Match
2026-02-23,652.54,657.7,636.0,637.25,8605900,652.54,657.7,636.0,637.25,8605909,0.0,0.0,0.0,0.0,9,Match
2026-02-24,633.08,641.11,628.98,639.3,10135600,633.08,641.11,628.98,639.3,10135647,0.0,0.0,0.0,0.0,47,Match
2026-02-25,642.53,653.88,642.14,653.69,11330700,642.53,653.88,642.14,653.69,11330693,0.0,0.0,0.0,0.0,7,Match
2026-02-26,650.55,661.0,647.5,657.01,10637700,650.55,661.0,647.5,657.01,10637736,0.0,0.0,0.0,0.0,36,Match
2026-02-27,643.45,649.44,638.12,648.18,15703000,643.45,649.44,638.12,648.18,15703041,0.0,0.0,0.0,0.0,41,Match
2026-03-02,637.16,659.94,634.5,653.56,9816100,637.16,659.94,634.5,653.56,9816125,0.0,0.0,0.0,0.0,25,Match
2026-03-03,648.29,659.04,638.84,655.08,12263800,648.29,659.04,638.84,655.08,12263754,0.0,0.0,0.0,0.0,46,Match
2026-03-04,657.96,672.77,657.67,667.73,10810100,657.96,672.77,657.6711,667.73,10810054,0.0,0.0,0.001100000000064938,0.0,46,Match
2026-03-05,661.93,670.7,650.31,660.57,13341400,661.93,670.7,650.31,660.57,13341367,0.0,0.0,0.0,0.0,33,Match
2026-03-06,647.9,649.47,636.11,644.86,13159400,647.9,649.47,636.11,644.86,13159356,0.0,0.0,0.0,0.0,44,Match
2026-03-09,634.78,647.75,626.78,647.39,13489700,634.78,647.75,626.78,647.39,13489742,0.0,0.0,0.0,0.0,42,Match
2026-03-10,653.56,660.3,649.0,654.07,9859300,653.56,660.3,649.0,654.07,9859250,0.0,0.0,0.0,0.0,50,Match
2026-03-11,654.76,659.12,648.36,654.86,8977200,654.76,659.12,648.36,654.86,8977162,0.0,0.0,0.0,0.0,38,Match
2026-03-12,648.75,653.5,636.9,638.18,11617500,648.75,653.5,636.9,638.18,11617485,0.0,0.0,0.0,0.0,15,Match
2026-03-13,623.89,629.17,609.55,613.71,18957600,623.89,629.1699,609.55,613.71,18957637,0.0,9.999999997489795e-05,0.0,0.0,37,Match
2026-03-16,632.0,634.75,623.1,627.45,15134900,632.0,634.75,623.1004,627.45,15134852,0.0,0.0,0.0004000000000132786,0.0,48,Match
2026-03-17,627.99,636.55,621.7,622.66,10348800,627.985,636.55,621.7,622.66,10348755,0.0049999999999954525,0.0,0.0,0.0,45,Match
2026-03-18,616.34,622.65,614.61,615.68,11726300,616.34,622.65,614.61,615.68,11726301,0.0,0.0,0.0,0.0,1,Match
2026-03-19,612.15,613.0,602.26,606.7,13247700,612.15,613.0,602.26,606.7,13247696,0.0,0.0,0.0,0.0,4,Match
2026-03-20,603.53,603.96,587.25,593.66,21214900,603.53,603.955,587.25,593.66,21214898,0.0,0.0049999999999954525,0.0,0.0,2,Match
2026-03-23,605.79,608.64,599.01,604.06,13638000,605.787,608.64,599.01,604.06,13637959,0.0029999999999290594,0.0,0.0,0.0,41,Match
2026-03-24,599.1,601.0,591.0,592.92,10739700,599.1,601.0,591.0,592.92,10739742,0.0,0.0,0.0,0.0,42,Match
2026-03-25,598.74,603.67,593.4,594.89,12585000,598.74,603.67,593.4,594.89,12585031,0.0,0.0,0.0,0.0,31,Match
2026-03-26,582.49,583.0,543.35,547.54,35780100,582.49,583.0,543.35,547.54,35780131,0.0,0.0,0.0,0.0,31,Match
2026-03-27,540.1,543.6,520.26,525.72,30133000,540.1,543.5999,520.26,525.72,30133010,0.0,9.999999997489795e-05,0.0,0.0,10,Match
2026-03-30,536.38,539.55,528.54,536.38,22795200,536.38,539.55,528.54,536.38,22795203,0.0,0.0,0.0,0.0,3,Match
2026-03-31,549.98,573.69,546.77,572.13,32898300,549.98,573.69,546.77,572.13,32898272,0.0,0.0,0.0,0.0,28,Match
2026-04-01,580.13,592.55,573.82,579.23,23608100,580.13,592.5465,573.82,579.23,23608128,0.0,0.003499999999917236,0.0,0.0,28,Match
2026-04-02,566.04,578.5,559.7,574.46,13518500,566.035,578.5,559.7,574.46,13518547,0.0049999999999954525,0.0,0.0,0.0,47,Match
2026-04-06,577.69,582.79,572.0,573.02,9515700,577.69,582.79,572.0,573.02,9515651,0.0,0.0,0.0,0.0,49,Match
2026-04-07,572.48,575.23,564.76,575.05,9580800,572.48,575.225,564.76,575.05,9580843,0.0,0.0049999999999954525,0.0,0.0,43,Match
2026-04-08,606.0,629.95,591.83,612.42,32036600,606.0,629.95,591.83,612.42,32036638,0.0,0.0,0.0,0.0,38,Match
2026-04-09,626.97,637.5,623.0,628.39,19012900,626.97,637.5,623.0,628.39,19012912,0.0,0.0,0.0,0.0,12,Match
2026-04-10,634.47,638.58,624.33,629.86,13294800,634.47,638.58,624.33,629.86,13294844,0.0,0.0,0.0,0.0,44,Match
2026-04-13,629.5,635.0,624.4,634.53,9538900,629.5,635.0,624.4,634.53,9538931,0.0,0.0,0.0,0.0,31,Match
2026-04-14,643.22,666.26,639.37,662.49,17818000,643.22,666.26,639.3705,662.49,17817956,0.0,0.0,0.0004999999999881766,0.0,44,Match
2026-04-15,667.0,678.5,664.22,671.58,14952600,667.0,678.5,664.22,671.58,14952577,0.0,0.0,0.0,0.0,23,Match
2026-04-16,675.99,677.58,667.75,676.87,9544800,675.99,677.58,667.75,676.87,9544835,0.0,0.0,0.0,0.0,35,Match
2026-04-17,678.6,691.52,675.13,688.55,16283500,678.6,691.52,675.13,688.55,16283480,0.0,0.0,0.0,0.0,20,Match
2026-04-20,681.36,683.38,668.0,670.91,12534000,681.36,683.38,668.0,670.91,12533951,0.0,0.0,0.0,0.0,49,Match
2026-04-21,671.0,676.2,667.33,668.84,8660100,671.0,676.2,667.33,668.84,8660100,0.0,0.0,0.0,0.0,0,Match
2026-04-22,674.36,678.38,669.75,674.72,9215600,674.355,678.38,669.75,674.72,9215603,0.0049999999999954525,0.0,0.0,0.0,3,Match
2026-04-23,663.7,669.56,653.05,659.15,11667000,663.7,669.56,653.05,659.15,11666981,0.0,0.0,0.0,0.0,19,Match
2026-04-24,660.32,680.67,653.84,675.03,13348300,660.32,680.67,653.8401,675.03,13348279,0.0,0.0,9.999999997489795e-05,0.0,21,Match
2026-04-27,671.0,682.5,670.84,678.62,12805200,670.995,682.5,670.84,678.62,12805222,0.0049999999999954525,0.0,0.0,0.0,22,Match
2026-04-28,674.24,678.18,665.63,671.34,10606800,674.24,678.18,665.625,671.34,10606755,0.0,0.0,0.0049999999999954525,0.0,45,Match
2026-04-29,668.91,674.25,663.81,669.12,18947500,668.91,674.25,663.8084,669.12,18947464,0.0,0.0,0.0015999999999394277,0.0,36,Match
2026-04-30,619.32,620.85,600.0,611.91,52765000,619.32,620.85,600.0,611.91,52764984,0.0,0.0,0.0,0.0,16,Match
2026-05-01,614.69,618.88,606.11,608.75,21404000,614.69,618.88,606.11,608.745,21404028,0.0,0.0,0.0,0.0049999999999954525,28,Match
2026-05-04,607.94,614.0,602.75,610.41,16203900,607.935,614.0,602.7501,610.41,16203902,0.005000000000109139,0.0,9.999999997489795e-05,0.0,2,Match
2026-05-05,613.31,614.35,600.36,604.96,17171300,613.31,614.35,600.36,604.96,17171301,0.0,0.0,0.0,0.0,1,Match
2026-05-06,601.05,619.95,598.1,612.88,19915500,601.05,619.95,598.1,612.88,19915460,0.0,0.0,0.0,0.0,40,Match
2026-05-07,614.72,624.98,613.54,616.81,12307400,614.72,624.98,613.5401,616.81,12307372,0.0,0.0,0.00010000000008858478,0.0,28,Match
