Date,Open_Yahoo,High_Yahoo,Low_Yahoo,Close_Yahoo,Volume_Yahoo,Open_Alpha,High_Alpha,Low_Alpha,Close_Alpha,Volume_Alpha,Open_Diff,High_Diff,Low_Diff,Close_Diff,Volume_Diff,Status
2026-02-18,77.32,78.32,76.28,77.99,29883100,77.32,78.32,76.28,77.99,29883106,0.0,0.0,0.0,0.0,6,Match
2026-02-19,77.75,78.7,76.59,77.0,30139200,77.75,78.7,76.59,77.0,30139202,0.0,0.0,0.0,0.0,2,Match
2026-02-20,76.61,78.85,76.4,78.67,32411300,76.61,78.85,76.4,78.67,32411317,0.0,0.0,0.0,0.0,17,Match
2026-02-23,77.79,77.83,75.01,76.02,38363000,77.79,77.83,75.01,76.02,38363022,0.0,0.0,0.0,0.0,22,Match
2026-02-24,75.73,78.12,75.21,78.04,33079100,75.73,78.12,75.21,78.04,33079056,0.0,0.0,0.0,0.0,44,Match
2026-02-25,79.43,83.12,79.25,82.7,69319300,79.43,83.117,79.25,82.7,69319330,0.0,0.0030000000000001137,0.0,0.0,30,Match
2026-02-26,83.2,86.5,82.8,84.59,85642500,83.2,86.5,82.8,84.59,85642486,0.0,0.0,0.0,0.0,14,Match
2026-02-27,94.3,96.75,90.58,96.24,200767000,94.295,96.75,90.58,96.24,200766960,0.0049999999999954525,0.0,0.0,0.0,40,Match
2026-03-02,95.26,98.07,95.2,97.09,79915400,95.26,98.07,95.2,97.09,79915361,0.0,0.0,0.0,0.0,39,Match
2026-03-03,96.01,98.46,95.33,97.7,59149000,96.01,98.46,95.33,97.7,59149000,0.0,0.0,0.0,0.0,0,Match
2026-03-04,97.11,99.75,96.99,98.66,52604300,97.105,99.75,96.99,98.66,52604273,0.0049999999999954525,0.0,0.0,0.0,27,Match
2026-03-05,98.5,100.19,98.1,99.17,53403000,98.5,100.19,98.1,99.17,53403048,0.0,0.0,0.0,0.0,48,Match
2026-03-06,99.33,99.88,97.4,99.02,41196300,99.33,99.88,97.4,99.02,41196294,0.0,0.0,0.0,0.0,6,Match
2026-03-09,97.7,98.94,96.58,98.32,48589000,97.7,98.94,96.58,98.32,48589009,0.0,0.0,0.0,0.0,9,Match
2026-03-10,97.81,98.49,96.29,96.94,41027200,97.805,98.49,96.29,96.94,41027158,0.0049999999999954525,0.0,0.0,0.0,42,Match
2026-03-11,97.41,98.0,94.69,94.89,33962900,97.41,98.0,94.685,94.89,33962858,0.0,0.0,0.0049999999999954525,0.0,42,Match
2026-03-12,94.86,95.4,93.87,94.31,34206900,94.86,95.4,93.87,94.31,34206855,0.0,0.0,0.0,0.0,45,Match
2026-03-13,94.64,95.68,94.24,95.31,29876700,94.64,95.68,94.24,95.31,29876659,0.0,0.0,0.0,0.0,41,Match
