Date,Open_Yahoo,High_Yahoo,Low_Yahoo,Close_Yahoo,Volume_Yahoo,Open_Alpha,High_Alpha,Low_Alpha,Close_Alpha,Volume_Alpha,Open_Diff,High_Diff,Low_Diff,Close_Diff,Volume_Diff,Status
2026-02-18,188.75,190.37,186.76,187.98,164749100,188.75,190.37,186.76,187.98,164749125,0.0,0.0,0.0,0.0,25,Match
2026-02-19,187.06,188.43,185.66,187.9,126554500,187.055,188.43,185.66,187.9,126554526,0.0049999999999954525,0.0,0.0,0.0,26,Match
2026-02-20,186.57,190.33,185.94,189.82,178422300,186.57,190.33,185.9378,189.82,178422337,0.0,0.0,0.0021999999999877673,0.0,37,Match
2026-02-23,191.4,193.95,189.58,191.55,171584800,191.4,193.95,189.575,191.55,171584839,0.0,0.0,0.005000000000023874,0.0,39,Match
2026-02-24,191.49,193.77,187.4,192.85,175123600,191.49,193.77,187.4,192.85,175123602,0.0,0.0,0.0,0.0,2,Match
2026-02-25,194.45,197.63,193.79,195.56,250637100,194.45,197.6299,193.79,195.56,250637102,0.0,0.00010000000000331966,0.0,0.0,2,Match
2026-02-26,194.27,194.29,184.32,184.89,360807900,194.27,194.29,184.315,184.89,360807907,0.0,0.0,0.0049999999999954525,0.0,7,Match
2026-02-27,181.25,182.59,176.38,177.19,311636500,181.25,182.59,176.38,177.19,311636494,0.0,0.0,0.0,0.0,6,Match
2026-03-02,175.01,183.46,174.64,182.48,209095300,175.01,183.46,174.64,182.48,209095331,0.0,0.0,0.0,0.0,31,Match
2026-03-03,178.49,180.9,176.92,180.05,178099400,178.49,180.9,176.92,180.05,178099430,0.0,0.0,0.0,0.0,30,Match
2026-03-04,180.44,184.7,180.06,183.04,177731200,180.44,184.7,180.06,183.04,177731198,0.0,0.0,0.0,0.0,2,Match
2026-03-05,181.17,184.06,177.88,183.34,198779700,181.17,184.06,177.88,183.34,198779729,0.0,0.0,0.0,0.0,29,Match
2026-03-06,179.84,182.76,176.82,177.82,189021900,179.84,182.7561,176.8201,177.82,189021949,0.0,0.003899999999987358,0.00010000000000331966,0.0,49,Match
2026-03-09,176.83,182.91,175.56,182.65,177213600,176.83,182.91,175.56,182.65,177213588,0.0,0.0,0.0,0.0,12,Match
2026-03-10,182.4,186.44,182.01,184.77,179118500,182.4,186.44,182.01,184.77,179118528,0.0,0.0,0.0,0.0,28,Match
2026-03-11,185.91,187.62,184.45,186.03,145280400,185.91,187.62,184.45,186.03,145280386,0.0,0.0,0.0,0.0,14,Match
2026-03-12,184.05,184.94,181.75,183.14,155762700,184.05,184.94,181.75,183.14,155762663,0.0,0.0,0.0,0.0,37,Match
2026-03-13,184.92,186.09,179.94,180.25,160988400,184.92,186.09,179.94,180.25,160988424,0.0,0.0,0.0,0.0,24,Match
2026-03-16,182.97,188.88,181.41,183.22,217307400,182.97,188.88,181.41,183.22,217307380,0.0,0.0,0.0,0.0,20,Match
2026-03-17,185.06,185.4,181.68,181.93,182497800,185.06,185.4,181.6804,181.93,182497757,0.0,0.0,0.0003999999999848569,0.0,43,Match
2026-03-18,182.48,183.38,180.33,180.4,156683100,182.48,183.38,180.33,180.4,156683136,0.0,0.0,0.0,0.0,36,Match
2026-03-19,178.01,179.98,175.79,178.56,170968500,178.01,179.98,175.785,178.56,170968527,0.0,0.0,0.0049999999999954525,0.0,27,Match
2026-03-20,178.0,178.26,171.72,172.7,241323500,178.0,178.26,171.72,172.7,241323528,0.0,0.0,0.0,0.0,28,Match
2026-03-23,177.26,178.37,174.76,175.64,182836300,177.255,178.37,174.76,175.64,182836294,0.0049999999999954525,0.0,0.0,0.0,6,Match
2026-03-24,174.83,176.22,173.98,175.2,147667800,174.83,176.22,173.98,175.2,147667844,0.0,0.0,0.0,0.0,44,Match
2026-03-25,177.1,181.22,176.85,178.68,162602100,177.1,181.22,176.85,178.68,162602054,0.0,0.0,0.0,0.0,46,Match
2026-03-26,176.07,176.51,171.14,171.24,186152200,176.07,176.51,171.14,171.24,186152232,0.0,0.0,0.0,0.0,32,Match
2026-03-27,170.0,170.97,167.01,167.52,196212700,170.0,170.97,167.01,167.52,196212684,0.0,0.0,0.0,0.0,16,Match
2026-03-30,168.78,169.45,164.27,165.17,185627000,168.78,169.45,164.27,165.17,185626992,0.0,0.0,0.0,0.0,8,Match
2026-03-31,166.97,174.62,166.96,174.4,226181300,166.97,174.62,166.96,174.4,226181301,0.0,0.0,0.0,0.0,1,Match
2026-04-01,176.0,177.37,174.75,175.75,168132000,176.0,177.37,174.75,175.75,168132005,0.0,0.0,0.0,0.0,5,Match
2026-04-02,172.18,177.49,171.37,177.39,143143200,172.18,177.49,171.37,177.39,143143157,0.0,0.0,0.0,0.0,43,Match
2026-04-06,177.16,177.79,175.76,177.64,107564300,177.155,177.79,175.76,177.64,107564279,0.0049999999999954525,0.0,0.0,0.0,21,Match
2026-04-07,175.73,178.23,173.66,178.1,132534900,175.725,178.23,173.66,178.1,132534902,0.0049999999999954525,0.0,0.0,0.0,2,Match
2026-04-08,184.5,185.26,180.3,182.08,147732700,184.5,185.26,180.3,182.08,147732686,0.0,0.0,0.0,0.0,14,Match
2026-04-09,181.84,184.08,180.62,183.91,116428500,181.84,184.08,180.62,183.91,116428523,0.0,0.0,0.0,0.0,23,Match
2026-04-10,184.31,190.0,184.3,188.63,160459500,184.31,190.0,184.3,188.63,160459524,0.0,0.0,0.0,0.0,24,Match
2026-04-13,186.03,189.66,185.74,189.31,133648200,186.03,189.66,185.74,189.31,133648180,0.0,0.0,0.0,0.0,20,Match
2026-04-14,190.84,196.51,190.77,196.51,161307000,190.84,196.51,190.77,196.51,161307010,0.0,0.0,0.0,0.0,10,Match
2026-04-15,196.54,200.4,195.74,198.87,185338400,196.54,200.4,195.74,198.87,185338388,0.0,0.0,0.0,0.0,12,Match
2026-04-16,197.43,199.85,195.81,198.35,134012900,197.43,199.85,195.81,198.35,134012859,0.0,0.0,0.0,0.0,41,Match
2026-04-17,199.9,201.7,199.27,201.68,160324400,199.9,201.7,199.27,201.68,160324416,0.0,0.0,0.0,0.0,16,Match
