Date,Open_Yahoo,High_Yahoo,Low_Yahoo,Close_Yahoo,Volume_Yahoo,Open_Alpha,High_Alpha,Low_Alpha,Close_Alpha,Volume_Alpha,Open_Diff,High_Diff,Low_Diff,Close_Diff,Volume_Diff,Status
2026-02-18,411.11,416.9,409.58,411.32,45921400,411.11,416.9,409.58,411.32,45921402,0.0,0.0,0.0,0.0,2,Match
2026-02-19,407.25,415.25,404.11,411.71,51019600,407.25,415.2499,404.11,411.71,51019638,0.0,9.999999997489795e-05,0.0,0.0,38,Match
2026-02-20,408.3,414.7,405.5,411.82,57912200,408.3,414.7,405.5,411.82,57912225,0.0,0.0,0.0,0.0,25,Match
2026-02-23,407.29,407.7,394.04,399.83,69680000,407.285,407.7,394.04,399.83,69680026,0.0049999999999954525,0.0,0.0,0.0,26,Match
2026-02-24,399.5,410.82,397.64,409.38,58579500,399.5,410.82,397.64,409.38,58579482,0.0,0.0,0.0,0.0,18,Match
2026-02-25,412.15,420.34,412.15,417.4,54809700,412.15,420.34,412.15,417.4,54809704,0.0,0.0,0.0,0.0,4,Match
2026-02-26,414.42,416.81,403.66,408.58,53602500,414.42,416.81,403.66,408.58,53602497,0.0,0.0,0.0,0.0,3,Match
2026-02-27,402.94,407.12,398.11,402.51,56890100,402.94,407.12,398.11,402.51,56890097,0.0,0.0,0.0,0.0,3,Match
2026-03-02,390.6,404.54,388.25,403.32,55088300,390.6,404.54,388.25,403.32,55088338,0.0,0.0,0.0,0.0,38,Match
2026-03-03,395.09,396.34,385.39,392.43,62617300,395.09,396.34,385.39,392.43,62617298,0.0,0.0,0.0,0.0,2,Match
2026-03-04,397.85,408.33,394.58,405.94,68305500,397.845,408.33,394.58,405.94,68305513,0.0049999999999954525,0.0,0.0,0.0,13,Match
2026-03-05,401.57,408.62,399.42,405.55,51925900,401.57,408.62,399.42,405.55,51925898,0.0,0.0,0.0,0.0,2,Match
2026-03-06,398.09,402.35,394.21,396.73,64054600,398.09,402.35,394.21,396.73,64054561,0.0,0.0,0.0,0.0,39,Match
2026-03-09,390.05,401.59,381.4,398.68,67018900,390.05,401.59,381.4,398.68,67018911,0.0,0.0,0.0,0.0,11,Match
2026-03-10,402.22,406.59,398.19,399.24,59258700,402.22,406.59,398.19,399.235,59258743,0.0,0.0,0.0,0.0049999999999954525,43,Match
2026-03-11,402.28,416.38,402.15,407.82,62559900,402.28,416.3799,402.15,407.82,62559930,0.0,9.999999997489795e-05,0.0,0.0,30,Match
2026-03-12,405.18,406.5,394.65,395.01,60973800,405.175,406.5,394.65,395.01,60973793,0.0049999999999954525,0.0,0.0,0.0,7,Match
2026-03-13,399.17,400.2,389.95,391.2,58504100,399.165,400.2,389.95,391.2,58504091,0.0049999999999954525,0.0,0.0,0.0,9,Match
2026-03-16,396.22,403.73,394.42,395.56,58068300,396.22,403.73,394.42,395.56,58068343,0.0,0.0,0.0,0.0,43,Match
