Date,Open,High,Low,Close,Volume
2026-02-17,198.125,201.7362,196.0,201.15,69879200
2026-02-18,202.07,206.86,201.51,204.79,51003299
2026-02-19,203.8,205.6396,202.81,204.86,35669611
2026-02-20,204.76,211.17,203.75,210.11,65881611
2026-02-23,208.095,208.43,203.11,205.27,53581508
2026-02-24,205.47,210.36,203.25,208.56,41137162
2026-02-25,210.46,211.59,208.93,210.64,41346376
2026-02-26,210.73,211.05,205.345,207.92,47756765
2026-02-27,206.83,210.33,205.2,210.0,57422777
2026-03-02,204.55,209.73,203.46,208.39,46001010
2026-03-03,203.1,209.178,202.48,208.73,43184918
2026-03-04,210.47,217.54,210.15,216.82,54731101
2026-03-05,215.98,220.47,215.59,218.94,60943447
2026-03-06,214.99,217.32,212.53,213.21,51152716
2026-03-09,210.45,213.82,207.11,213.49,54642926
2026-03-10,214.19,215.65,212.43,214.33,35678834
2026-03-11,215.705,217.0,211.35,212.65,34199303
2026-03-12,210.39,211.71,208.15,209.53,44349501
2026-03-13,209.605,210.56,206.22,207.67,35662137
2026-03-16,208.35,212.724,207.445,211.74,42209316
2026-03-17,212.82,215.7,212.43,215.2,44969943
2026-03-18,213.925,215.1401,208.825,209.87,37846642
2026-03-19,207.06,209.12,206.05,208.76,36440622
2026-03-20,207.4,207.54,204.316,205.37,63694603
2026-03-23,209.79,212.8,209.51,210.14,44277356
2026-03-24,207.95,209.35,206.64,207.24,35351425
2026-03-25,211.56,213.07,209.9,211.71,36388791
2026-03-26,210.61,212.885,207.12,207.54,46745978
2026-03-27,206.455,206.6,199.14,199.34,56009763
2026-03-30,201.48,203.8,199.9802,200.95,46373797
2026-03-31,204.845,210.28,204.14,208.27,58470078
2026-04-01,210.435,213.58,208.19,210.57,45955395
2026-04-02,206.54,212.2125,204.9,209.77,31453039
2026-04-06,209.795,212.95,209.59,212.79,25385495
2026-04-07,211.24,213.97,209.075,213.77,28154557
2026-04-08,223.79,226.1,219.62,221.25,51092698
2026-04-09,225.232,233.8,223.27,233.65,65964171
2026-04-10,235.295,240.43,235.21,238.38,56912842
2026-04-13,237.45,240.0,235.75,239.89,42166150
2026-04-14,241.78,252.18,241.78,249.02,72685026
2026-04-15,249.25,250.44,247.2,248.5,43045160
2026-04-16,248.51,250.0,244.2,249.7,41895711
2026-04-17,254.985,256.18,250.11,250.56,52029291
2026-04-20,249.19,250.18,245.365,248.28,39463106
2026-04-21,255.09,255.09,249.1,249.91,42922398
2026-04-22,252.44,255.94,250.33,255.36,36065067
2026-04-23,255.39,258.79,253.07,255.08,39091394
2026-04-24,259.98,264.5,257.685,263.99,53777353
2026-04-27,263.46,264.15,260.34,261.12,44906840
2026-04-28,258.39,261.03,256.63,259.7,42204447
2026-04-29,257.99,265.91,257.7,263.04,72367910
2026-04-30,273.17,273.88,256.16,265.06,100974867
2026-05-01,265.58,273.315,262.74,268.26,50825231
2026-05-04,268.795,276.1,268.795,272.05,49083734
2026-05-05,276.075,278.56,272.38,273.55,41908529
2026-05-06,272.89,277.8,272.2076,274.99,44551955
2026-05-07,275.02,276.63,270.49,271.17,35892879
2026-05-08,271.63,274.0,269.95,272.68,34732681
2026-05-11,269.835,273.63,268.48,268.99,38176696
2026-05-12,266.71,267.65,262.63,265.82,36776221
2026-05-13,264.43,270.72,263.2,270.13,39670915
2026-05-14,269.15,270.7799,266.63,267.22,31338435
2026-05-15,262.5,264.355,260.8901,264.14,40770344
2026-05-18,263.865,268.85,262.53,264.86,33690787
2026-05-19,262.04,262.25,255.19,259.34,40340697
2026-05-20,260.05,265.58,259.533,265.01,34493098
2026-05-21,263.5,269.4899,261.37,268.46,36591743
2026-05-22,268.655,269.785,266.235,266.32,27535526
2026-05-26,267.94,269.3,262.07,265.29,38028118
2026-05-27,266.15,272.41,265.7001,271.85,40061864
2026-05-28,272.27,274.5,267.44,274.0,40630385
2026-05-29,271.29,274.75,269.64,270.64,54749561
2026-06-01,266.285,266.63,260.7,261.26,53604380
2026-06-02,257.16,261.2025,254.37,256.52,41810982
2026-06-03,254.7,257.09,247.71,250.02,51394191
2026-06-04,253.12,255.83,251.75,253.79,35609769
2026-06-05,254.255,256.38,245.78,246.03,55607844
2026-06-08,246.68,249.42,243.36,245.22,33899525
2026-06-09,247.73,250.43,240.4,244.19,44425363
2026-06-10,243.605,244.065,237.45,238.0,38590237
2026-06-11,237.93,242.14,235.18,241.51,41335399
2026-06-12,243.21,243.36,233.59,238.55,51251141
2026-06-15,245.02,247.805,244.73,246.02,41711576
2026-06-16,248.0,249.51,245.4511,246.0,35187406
2026-06-17,244.9,245.91,236.0,237.5,44780767
2026-06-18,240.12,245.73,236.02,244.39,75624415
2026-06-22,240.08,242.0,232.24,232.79,68388526
2026-06-23,232.55,236.87,232.0,234.11,60492560
2026-06-24,233.845,242.4199,232.95,234.27,70282581
2026-06-25,232.02,232.32,225.55,227.01,77858478
2026-06-26,227.205,233.9,226.125,232.69,248372085
2026-06-29,234.215,249.71,233.8,240.14,77619228
2026-06-30,237.35,241.54,237.171,238.34,66228262
2026-07-01,239.75,244.9,234.9,241.7,53829851
2026-07-02,241.605,246.72,241.08,242.67,48298137
2026-07-06,243.795,246.04,240.88,244.16,40044034
2026-07-07,246.975,248.93,242.7,245.98,40579603
2026-07-08,244.27,244.8,240.52,243.62,29653043
2026-07-09,239.82,247.5,238.25,247.04,38091688
2026-07-10,249.55,251.03,244.41,245.34,31653997
