Date,Open,High,Low,Close,Volume
2026-02-17,76.92,77.87,75.3,77.0,35961512
2026-02-18,77.32,78.32,76.28,77.99,29883106
2026-02-19,77.75,78.7,76.59,77.0,30139202
2026-02-20,76.61,78.85,76.4,78.67,32411317
2026-02-23,77.79,77.83,75.01,76.02,38363022
2026-02-24,75.73,78.12,75.21,78.04,33079056
2026-02-25,79.43,83.117,79.25,82.7,69319330
2026-02-26,83.2,86.5,82.8,84.59,85642486
2026-02-27,94.295,96.75,90.58,96.24,200766960
2026-03-02,95.26,98.07,95.2,97.09,79915361
2026-03-03,96.01,98.46,95.33,97.7,59149000
2026-03-04,97.105,99.75,96.99,98.66,52604273
2026-03-05,98.5,100.19,98.1,99.17,53403048
2026-03-06,99.33,99.88,97.4,99.02,41196294
2026-03-09,97.7,98.94,96.58,98.32,48589009
2026-03-10,97.805,98.49,96.29,96.94,41027158
2026-03-11,97.41,98.0,94.685,94.89,33962858
2026-03-12,94.86,95.4,93.87,94.31,34206855
2026-03-13,94.64,95.68,94.24,95.31,29876659
2026-03-16,95.58,96.1,94.36,95.2,34931831
2026-03-17,95.3,96.34,94.01,94.36,26434496
2026-03-18,94.445,95.335,93.61,94.7,27878318
2026-03-19,94.31,95.75,90.775,91.74,40169250
2026-03-20,91.31,91.88,90.69,91.82,61678012
2026-03-23,92.04,93.98,91.86,93.38,34315874
2026-03-24,92.79,93.7398,90.815,90.92,28938033
2026-03-25,91.71,92.52,91.235,92.28,29545625
2026-03-26,91.52,95.86,91.01,93.32,59522026
2026-03-27,94.57,95.5799,92.74,93.43,44590673
2026-03-30,92.75,94.49,92.22,92.97,32375138
2026-03-31,93.03,96.26,93.03,96.15,54269957
2026-04-01,96.47,97.2,94.264,95.55,30439305
2026-04-02,95.27,98.71,95.17,98.66,37068024
2026-04-06,100.96,102.685,97.97,98.93,37029334
2026-04-07,98.55,99.875,98.25,98.82,25016718
2026-04-08,100.32,100.4,97.44,99.39,30957619
2026-04-09,99.63,102.34,99.08,102.05,35087760
2026-04-10,102.47,103.08,101.46,103.01,25769905
2026-04-13,103.032,103.665,102.06,103.16,26042804
2026-04-14,103.12,106.57,103.04,106.28,40534865
2026-04-15,105.98,107.85,105.04,107.71,38023679
2026-04-16,107.47,108.945,106.6201,107.79,64928250
2026-04-17,96.37,98.74,95.1,97.31,125958732
2026-04-20,97.14,97.6,93.54,94.83,63298264
2026-04-21,94.0,94.65,92.37,92.58,61962275
2026-04-22,93.06,93.85,92.77,93.24,33694345
2026-04-23,94.06,94.64,92.073,92.82,36851674
2026-04-24,92.57,93.28,91.8,92.44,32553177
2026-04-27,92.05,92.84,91.3,91.37,29707439
2026-04-28,91.5,92.34,90.02,92.27,33418126
2026-04-29,91.23,92.855,90.86,92.12,26122087
2026-04-30,91.35,94.22,90.77,93.61,40923012
2026-05-01,94.42,94.7,91.9,92.06,30406881
2026-05-04,92.1,92.33,90.89,91.02,25928818
2026-05-05,91.18,91.28,87.565,87.89,51961335
2026-05-06,87.15,88.55,86.715,88.27,41932442
2026-05-07,88.2,89.3991,88.13,88.25,30627603
2026-05-08,87.71,88.04,87.21,87.49,36215113
2026-05-11,86.525,87.34,85.1,85.45,40556459
2026-05-12,85.905,89.17,85.81,87.66,43556595
2026-05-13,86.565,88.62,86.28,87.56,30823502
2026-05-14,87.62,88.5,86.65,86.94,29408300
2026-05-15,87.69,89.49,86.685,87.02,32335655
2026-05-18,86.495,89.815,86.33,89.65,35800481
2026-05-19,90.14,91.48,88.69,89.33,34545729
2026-05-20,88.515,88.55,87.5,88.09,23243333
2026-05-21,88.03,90.3699,87.5201,89.3,28613851
2026-05-22,89.1,89.9699,88.17,88.6,23847195
2026-05-26,88.4,88.73,87.25,87.68,24014542
2026-05-27,87.046,88.495,86.82,87.35,22569537
2026-05-28,86.895,87.04,85.585,86.36,38803803
2026-05-29,86.2,86.67,85.66,86.02,39793616
2026-06-01,85.725,87.225,85.315,85.85,32747221
2026-06-02,85.605,85.9799,83.29,83.33,42947161
2026-06-03,82.91,83.31,81.1001,81.52,36714742
2026-06-04,83.19,83.7,81.37,81.56,39338810
2026-06-05,82.325,82.754,81.0,82.18,43474112
2026-06-08,81.66,83.0798,81.34,82.64,33056688
2026-06-09,82.125,82.34,81.34,81.41,34787190
2026-06-10,81.71,82.75,80.9772,82.0,36304581
2026-06-11,81.87,82.1,80.09,81.27,33417643
2026-06-12,81.575,82.0,79.28,80.34,35344169
2026-06-15,80.615,81.71,80.46,81.67,36430801
2026-06-16,81.9,81.93,77.71,78.72,65054025
2026-06-17,78.1,78.445,76.76,76.96,50338782
2026-06-18,76.93,78.235,76.12,77.38,91920414
2026-06-22,76.135,77.09,71.81,72.88,82203261
2026-06-23,73.26,73.9607,72.63,72.82,50806831
2026-06-24,72.685,73.45,71.625,71.84,48001454
2026-06-25,71.33,72.94,70.86,70.9,44581985
2026-06-26,71.69,75.2,71.53,73.81,74990265
2026-06-29,74.615,76.0689,73.73,73.78,42429603
2026-06-30,73.59,73.745,71.0,71.4,49240896
2026-07-01,72.59,74.355,72.33,74.19,43841796
2026-07-02,75.09,78.44,74.91,77.65,55541744
2026-07-06,77.075,77.84,75.71,76.02,45056559
2026-07-07,77.88,78.19,76.1,76.18,33257274
2026-07-08,76.27,76.64,74.89,75.59,34373499
2026-07-09,74.295,75.55,74.02,75.47,36305650
2026-07-10,75.44,75.6986,72.51,73.37,46713938
