Date,Open,High,Low,Close,Volume
2026-02-18,263.6,266.82,262.45,264.35,34203300
2026-02-19,262.6,264.48,260.05,260.58,30845300
2026-02-20,258.97,264.75,258.16,264.58,42070500
2026-02-23,263.49,269.43,263.38,266.18,37308200
2026-02-24,267.86,274.89,267.71,272.14,47014600
2026-02-25,271.78,274.94,271.05,274.23,33714300
2026-02-26,274.95,276.11,270.8,272.95,32345100
2026-02-27,272.81,272.81,262.89,264.18,72366500
2026-03-02,262.41,266.53,260.2,264.72,41827900
2026-03-03,263.48,265.56,260.13,263.75,38568900
2026-03-04,264.65,266.15,261.42,262.52,39803100
2026-03-05,260.79,261.56,257.25,260.29,49658600
2026-03-06,258.63,258.77,254.37,257.46,41120000
2026-03-09,255.69,261.15,253.68,259.88,38218500
2026-03-10,257.65,262.48,256.95,260.83,30590800
2026-03-11,261.09,262.13,259.55,260.81,26218900
2026-03-12,258.66,258.95,254.18,255.76,40794000
2026-03-13,255.48,256.33,249.52,250.12,36930000
2026-03-16,252.11,253.89,249.88,252.82,32074200
2026-03-17,252.96,255.13,252.18,254.23,32361600
2026-03-18,252.63,254.94,249.0,249.94,35757900
2026-03-19,249.4,251.83,247.3,248.96,34864100
2026-03-20,247.98,249.2,246.0,247.99,88331100
2026-03-23,253.97,254.6,250.28,251.49,40546100
2026-03-24,250.35,254.83,249.55,251.64,45152300
2026-03-25,254.1,255.0,251.6,252.62,28476700
2026-03-26,252.12,257.0,250.77,252.89,41796700
2026-03-27,253.9,255.49,248.07,248.8,47900000
2026-03-30,250.07,250.87,245.51,246.63,39446200
2026-03-31,247.91,255.48,247.1,253.79,49598100
2026-04-01,254.08,256.18,253.33,255.63,40059400
2026-04-02,254.2,256.13,250.65,255.92,31289400
2026-04-06,256.51,262.16,256.46,258.86,29329900
2026-04-07,256.16,256.2,245.7,253.5,62148000
2026-04-08,258.45,259.75,256.53,258.9,41032800
2026-04-09,259.0,261.12,256.07,260.49,28121600
2026-04-10,259.98,262.19,259.02,260.48,31291500
2026-04-13,259.73,260.18,256.66,259.2,36234700
2026-04-14,259.25,261.93,257.19,258.83,48370700
2026-04-15,258.16,266.56,257.81,266.43,49913500
2026-04-16,266.8,267.16,261.27,263.4,43323100
2026-04-17,266.96,272.3,266.72,270.23,61436200
2026-04-20,270.33,274.28,270.29,273.05,36590200
2026-04-21,271.5,272.8,265.4,266.17,50209800
2026-04-22,267.82,273.74,266.87,273.17,43249200
2026-04-23,275.05,275.77,271.65,273.43,33399600
2026-04-24,272.76,273.06,269.65,271.06,38157100
2026-04-27,266.09,268.36,265.07,267.61,41466800
2026-04-28,272.34,273.23,268.66,270.71,40018900
2026-04-29,267.55,271.04,267.04,270.17,30047900
2026-04-30,270.5,276.0,268.14,271.35,91848200
2026-05-01,278.86,287.22,278.37,280.14,79915400
2026-05-04,279.66,280.63,274.86,276.83,46668400
2026-05-05,276.93,284.57,276.5,284.18,49311700
2026-05-06,281.92,288.03,281.07,287.51,58336100
2026-05-07,289.27,292.13,285.78,287.44,45224300
2026-05-08,290.01,294.76,290.0,293.32,52692800
2026-05-11,291.98,293.88,290.23,292.68,42247300
2026-05-12,292.56,295.27,292.56,294.8,45748100
2026-05-13,293.5,300.92,293.5,298.87,52684300
2026-05-14,299.82,300.45,295.38,298.21,35324900
2026-05-15,297.9,303.2,296.52,300.23,54862800
2026-05-18,300.24,300.66,294.91,297.84,34483000
2026-05-19,296.97,300.51,296.35,298.97,42243600
2026-05-20,298.18,302.8,298.08,302.25,38229800
2026-05-21,301.06,305.54,300.4,304.99,42965100
2026-05-22,306.12,311.4,305.84,308.82,43670200
2026-05-26,309.56,311.82,307.67,308.33,48000500
2026-05-27,308.33,313.26,308.3,310.85,50430900
2026-05-28,310.68,312.8,309.57,312.51,48220400
2026-05-29,311.78,315.0,309.53,312.06,70026800
2026-06-01,309.63,310.94,305.02,306.31,48849900
2026-06-02,307.46,315.45,306.69,315.2,44534700
2026-06-03,314.18,316.94,308.85,310.26,50836700
2026-06-04,313.23,313.54,309.65,311.23,44869100
2026-06-05,312.86,315.17,307.15,307.34,65310500
2026-06-08,308.74,317.4,301.17,301.54,77949100
2026-06-09,300.28,300.75,287.78,290.55,70108800
2026-06-10,290.74,294.75,287.38,291.58,52793300
2026-06-11,293.72,297.0,289.59,295.63,42572500
2026-06-12,296.03,297.14,289.62,291.13,38742100
2026-06-15,294.12,297.78,291.7,296.42,45732600
2026-06-16,295.25,300.48,293.97,299.24,39874400
2026-06-17,300.85,302.07,294.36,295.95,42745100
2026-06-18,298.11,300.57,295.62,298.01,85962200
2026-06-22,297.31,302.42,296.76,297.01,44879900
2026-06-23,297.54,301.64,294.18,294.3,52010900
2026-06-24,295.36,299.7,292.94,293.08,53081900
2026-06-25,287.4,288.8,273.75,275.15,107013700
2026-06-26,275.0,285.95,274.21,283.78,261775500
2026-06-29,286.73,288.37,279.85,281.74,66427000
2026-06-30,281.17,289.94,280.7,289.36,65100200
2026-07-01,293.44,296.59,289.2,294.38,50164200
2026-07-02,294.12,309.42,293.68,308.63,75352800
2026-07-06,307.36,314.2,307.0,312.66,53590000
2026-07-07,315.29,315.48,310.15,310.66,42490000
2026-07-08,311.91,314.82,307.05,313.39,41323500
2026-07-09,310.51,316.53,308.16,316.22,48124500
2026-07-10,314.72,316.91,312.17,315.32,34109200
2026-07-13,317.02,323.45,316.09,316.7,16968363
