Date,Open,High,Low,Close,Volume
2026-02-18,202.07,206.86,201.51,204.79,51003300
2026-02-19,203.8,205.64,202.81,204.86,35669600
2026-02-20,204.76,211.17,203.75,210.11,65881600
2026-02-23,208.1,208.43,203.11,205.27,53581500
2026-02-24,205.47,210.36,203.25,208.56,41137200
2026-02-25,210.46,211.59,208.93,210.64,41346400
2026-02-26,210.73,211.05,205.35,207.92,47756800
2026-02-27,206.83,210.33,205.2,210.0,57422800
2026-03-02,204.55,209.73,203.46,208.39,46001000
2026-03-03,203.1,209.18,202.48,208.73,43184900
2026-03-04,210.47,217.54,210.15,216.82,54731100
2026-03-05,215.98,220.47,215.59,218.94,60943400
2026-03-06,214.99,217.32,212.53,213.21,51152700
2026-03-09,210.45,213.82,207.11,213.49,54642900
2026-03-10,214.19,215.65,212.43,214.33,35678800
2026-03-11,215.71,217.0,211.35,212.65,34199300
2026-03-12,210.39,211.71,208.15,209.53,44349500
2026-03-13,209.61,210.56,206.22,207.67,35662100
2026-03-16,208.35,212.72,207.45,211.74,42209300
2026-03-17,212.82,215.7,212.43,215.2,44969900
2026-03-18,213.93,215.14,208.83,209.87,37846600
2026-03-19,207.06,209.12,206.05,208.76,36440600
2026-03-20,207.4,207.54,204.32,205.37,63694600
2026-03-23,209.79,212.8,209.51,210.14,44277400
2026-03-24,207.95,209.35,206.64,207.24,35351400
2026-03-25,211.56,213.07,209.9,211.71,36388800
2026-03-26,210.61,212.89,207.12,207.54,46746000
2026-03-27,206.46,206.6,199.14,199.34,56009800
2026-03-30,201.48,203.8,199.98,200.95,46373800
2026-03-31,204.85,210.28,204.14,208.27,58470100
2026-04-01,210.44,213.58,208.19,210.57,45955400
2026-04-02,206.54,212.21,204.9,209.77,31453000
2026-04-06,209.8,212.95,209.59,212.79,25385500
2026-04-07,211.24,213.97,209.08,213.77,28154600
2026-04-08,223.79,226.1,219.62,221.25,51092700
2026-04-09,225.23,233.8,223.27,233.65,65964200
2026-04-10,235.3,240.43,235.21,238.38,56912800
2026-04-13,237.45,240.0,235.75,239.89,42166200
2026-04-14,241.78,252.18,241.78,249.02,72685000
2026-04-15,249.25,250.44,247.2,248.5,43045200
2026-04-16,248.51,250.0,244.2,249.7,41895700
2026-04-17,254.99,256.18,250.11,250.56,52029300
2026-04-20,249.19,250.18,245.37,248.28,39463100
2026-04-21,255.09,255.09,249.1,249.91,42922400
2026-04-22,252.44,255.94,250.33,255.36,36065100
2026-04-23,255.39,258.79,253.07,255.08,39091400
2026-04-24,259.98,264.5,257.69,263.99,53777400
2026-04-27,263.46,264.15,260.34,261.12,44906800
2026-04-28,258.39,261.03,256.63,259.7,42204400
2026-04-29,257.99,265.91,257.7,263.04,72367900
2026-04-30,273.17,273.88,256.16,265.06,100974900
2026-05-01,265.58,273.32,262.74,268.26,50825200
2026-05-04,268.8,276.1,268.8,272.05,49083700
2026-05-05,276.08,278.56,272.38,273.55,41908500
2026-05-06,272.89,277.8,272.21,274.99,44552000
2026-05-07,275.02,276.63,270.49,271.17,35892900
2026-05-08,271.63,274.0,269.95,272.68,34732700
2026-05-11,269.84,273.63,268.48,268.99,38176700
2026-05-12,266.71,267.65,262.63,265.82,36776200
2026-05-13,264.43,270.72,263.2,270.13,39670900
2026-05-14,269.15,270.78,266.63,267.22,31338400
2026-05-15,262.5,264.36,260.89,264.14,40770300
2026-05-18,263.87,268.85,262.53,264.86,33690800
2026-05-19,262.04,262.25,255.19,259.34,40340700
2026-05-20,260.05,265.58,259.53,265.01,34933200
2026-05-21,263.5,269.49,261.37,268.46,36591700
2026-05-22,268.66,269.79,266.24,266.32,27535500
2026-05-26,267.94,269.3,262.07,265.29,38028100
2026-05-27,266.15,272.41,265.7,271.85,40061900
2026-05-28,272.27,274.5,267.44,274.0,40630400
2026-05-29,271.29,274.75,269.64,270.64,54749600
2026-06-01,266.29,266.63,260.7,261.26,53604400
2026-06-02,257.16,261.2,254.37,256.52,41811000
2026-06-03,254.7,257.09,247.71,250.02,51394200
2026-06-04,253.12,255.83,251.75,253.79,35609800
2026-06-05,254.26,256.38,245.78,246.03,55607800
2026-06-08,246.68,249.42,243.36,245.22,33899500
2026-06-09,247.73,250.43,240.4,244.19,44425400
2026-06-10,243.61,244.07,237.45,238.0,38590200
2026-06-11,237.93,242.14,235.18,241.51,41335400
2026-06-12,243.21,243.36,233.59,238.55,51186600
2026-06-15,245.02,247.81,244.73,246.02,41711600
2026-06-16,248.0,249.51,245.45,246.0,35187400
2026-06-17,244.9,245.91,236.0,237.5,44780800
2026-06-18,240.12,245.73,236.02,244.39,75624400
2026-06-22,240.08,242.0,232.24,232.79,68388500
2026-06-23,232.55,236.87,232.0,234.11,60492600
2026-06-24,233.85,242.42,232.95,234.27,70282600
2026-06-25,232.02,232.32,225.55,227.01,77674100
2026-06-26,227.21,233.9,226.13,232.69,248372100
2026-06-29,234.22,249.71,233.8,240.14,77619200
2026-06-30,237.35,241.54,237.17,238.34,66228300
2026-07-01,239.75,244.9,234.9,241.7,53829900
2026-07-02,241.61,246.72,241.08,242.67,48246400
2026-07-06,243.8,246.04,240.88,244.16,40044000
2026-07-07,246.98,248.93,242.7,245.98,40579600
2026-07-08,244.27,244.8,240.52,243.62,29653000
2026-07-09,239.82,247.5,238.25,247.04,38091700
2026-07-10,249.55,251.03,244.41,245.34,31624900
2026-07-13,244.26,249.34,244.23,248.88,12135266
