Date,Open,High,Low,Close,Volume
2026-02-18,45.92,46.77,44.88,45.46,65306100
2026-02-19,44.95,45.17,43.92,44.62,72724900
2026-02-20,43.89,44.39,42.88,44.11,90743600
2026-02-23,44.09,44.55,43.18,43.63,57130900
2026-02-24,44.1,46.6,43.54,46.12,98872300
2026-02-25,46.09,46.97,45.08,46.88,75645300
2026-02-26,46.77,46.95,44.39,45.46,71457500
2026-02-27,44.46,46.56,44.4,45.61,79327200
2026-03-02,44.2,45.81,43.95,45.5,60705100
2026-03-03,43.44,43.69,42.14,43.1,83971000
2026-03-04,44.07,46.13,43.27,45.58,96628100
2026-03-05,44.87,46.48,44.7,45.95,78229400
2026-03-06,44.67,45.18,43.28,43.42,74698300
2026-03-09,42.74,45.76,41.64,45.58,82937400
2026-03-10,45.41,47.88,45.41,46.78,85233300
2026-03-11,46.82,48.83,46.66,47.98,72480600
2026-03-12,47.4,47.44,45.17,45.25,85110200
2026-03-13,45.97,46.65,45.39,45.77,68386200
2026-03-16,47.91,49.17,45.69,45.76,114199400
2026-03-17,46.08,46.08,43.91,44.06,89061600
2026-03-18,44.2,45.71,44.05,45.03,78056200
2026-03-19,43.99,46.44,43.65,46.18,74051500
2026-03-20,46.95,47.55,43.64,43.87,162814200
2026-03-23,44.5,45.46,43.74,44.01,80772200
2026-03-24,43.54,44.31,43.2,44.06,65323500
2026-03-25,45.85,47.85,45.45,47.18,97467900
2026-03-26,46.3,46.6,43.92,44.1,82841400
2026-03-27,43.62,44.13,42.86,43.13,70002200
2026-03-30,43.72,43.99,40.63,41.19,84596000
2026-03-31,41.95,44.23,41.6,44.13,95294900
2026-04-01,45.0,48.77,44.98,48.03,129598500
2026-04-02,46.06,50.49,46.04,50.38,117134200
2026-04-06,50.88,52.39,49.87,50.78,79978800
2026-04-07,51.91,53.27,51.22,52.91,129543800
2026-04-08,55.37,59.17,54.8,58.95,184599900
2026-04-09,58.4,62.08,58.39,61.72,155609900
2026-04-10,61.52,63.39,60.75,62.38,98624400
2026-04-13,62.18,65.65,62.18,65.18,112111000
2026-04-14,65.16,65.18,62.09,63.81,112796100
2026-04-15,63.77,65.84,62.88,64.94,92051500
2026-04-16,64.93,68.61,64.27,68.5,108328300
2026-04-17,68.85,70.33,67.74,68.5,118831500
2026-04-20,68.45,69.21,64.47,65.7,96851100
2026-04-21,67.14,67.67,65.64,66.26,91402300
2026-04-22,67.94,68.77,64.98,65.27,90267300
2026-04-23,66.1,68.28,65.42,66.78,155141800
2026-04-24,82.2,85.22,79.62,82.54,281405200
2026-04-27,83.67,87.1,82.61,84.99,178820200
2026-04-28,81.28,84.59,80.8,84.52,147773500
2026-04-29,86.14,94.95,85.87,94.75,235070900
2026-04-30,95.6,95.69,91.5,94.48,160597300
2026-05-01,93.2,100.45,92.61,99.62,158502800
2026-05-04,99.18,99.82,95.6,95.78,119294000
2026-05-05,100.51,110.48,100.08,108.15,198482000
2026-05-06,110.98,113.5,106.58,113.01,157320100
2026-05-07,111.02,114.51,109.15,109.62,122699900
2026-05-08,111.81,130.57,111.8,124.92,227681300
2026-05-11,130.88,132.75,123.92,129.44,179486500
2026-05-12,124.36,127.79,115.0,120.61,172516500
2026-05-13,124.1,125.0,116.41,120.29,115364400
2026-05-14,114.66,118.57,113.17,115.93,118279800
2026-05-15,109.79,110.57,105.02,108.77,135206000
2026-05-18,113.47,115.54,103.85,108.17,145764000
2026-05-19,106.98,113.07,102.4,110.8,150234900
2026-05-20,116.22,121.94,114.8,118.96,165086900
2026-05-21,116.58,119.41,113.17,118.5,102452500
2026-05-22,120.34,122.78,118.09,119.84,82663000
2026-05-26,122.1,125.62,117.35,123.52,108167300
2026-05-27,124.39,125.27,117.0,121.77,93323300
2026-05-28,121.45,123.08,116.31,120.89,97321000
2026-05-29,123.85,126.64,113.54,114.68,191676100
2026-06-01,109.43,113.3,106.33,109.33,134900400
2026-06-02,107.45,109.0,104.17,107.93,106336200
2026-06-03,116.42,118.29,110.86,112.71,118928800
2026-06-04,108.4,113.14,107.48,111.78,77325800
2026-06-05,106.48,106.48,98.33,99.17,145209400
2026-06-08,111.0,112.54,106.66,110.27,136973900
2026-06-09,112.99,114.0,99.46,107.92,149623100
2026-06-10,106.03,111.5,104.92,107.04,122653500
2026-06-11,113.52,119.44,110.51,116.96,188430300
2026-06-12,117.42,127.6,115.33,124.57,151169400
2026-06-15,129.49,132.61,126.66,127.86,134507500
2026-06-16,125.11,128.7,116.0,117.05,132962600
2026-06-17,121.85,125.2,118.06,121.1,115324900
2026-06-18,131.81,135.48,127.9,133.99,233906600
2026-06-22,139.12,141.45,136.21,140.94,127190600
2026-06-23,129.73,137.98,128.3,132.28,132976700
2026-06-24,133.05,136.08,127.95,131.65,104591700
2026-06-25,139.73,140.72,125.41,132.87,122588800
2026-06-26,128.71,131.23,125.5,128.32,99475400
2026-06-29,127.0,132.05,118.5,131.72,106805300
2026-06-30,131.99,142.35,131.52,139.63,116996700
2026-07-01,135.0,135.74,126.68,127.02,113107200
2026-07-02,128.92,130.74,117.63,120.35,124577600
2026-07-06,122.57,127.3,121.52,122.2,86950200
2026-07-07,116.3,116.47,108.3,110.39,140405900
2026-07-08,108.3,110.49,104.41,110.24,105488100
2026-07-09,114.87,116.77,111.51,112.54,99352500
2026-07-10,109.58,110.85,107.45,109.84,70619700
2026-07-13,105.96,106.17,103.37,104.93,36366281
