Date,Open,High,Low,Close,Volume
2026-02-18,77.32,78.32,76.28,77.99,29883100
2026-02-19,77.75,78.7,76.59,77.0,30139200
2026-02-20,76.61,78.85,76.4,78.67,32411300
2026-02-23,77.79,77.83,75.01,76.02,38363000
2026-02-24,75.73,78.12,75.21,78.04,33079100
2026-02-25,79.43,83.12,79.25,82.7,69319300
2026-02-26,83.2,86.5,82.8,84.59,85642500
2026-02-27,94.3,96.75,90.58,96.24,200767000
2026-03-02,95.26,98.07,95.2,97.09,79915400
2026-03-03,96.01,98.46,95.33,97.7,59149000
2026-03-04,97.11,99.75,96.99,98.66,52604300
2026-03-05,98.5,100.19,98.1,99.17,53403000
2026-03-06,99.33,99.88,97.4,99.02,41196300
2026-03-09,97.7,98.94,96.58,98.32,48589000
2026-03-10,97.81,98.49,96.29,96.94,41027200
2026-03-11,97.41,98.0,94.69,94.89,33962900
2026-03-12,94.86,95.4,93.87,94.31,34206900
2026-03-13,94.64,95.68,94.24,95.31,29876700
2026-03-16,95.58,96.1,94.36,95.2,34931800
2026-03-17,95.3,96.34,94.01,94.36,26434500
2026-03-18,94.45,95.34,93.61,94.7,27878300
2026-03-19,94.31,95.75,90.78,91.74,40169300
2026-03-20,91.31,91.88,90.69,91.82,61678000
2026-03-23,92.04,93.98,91.86,93.38,34315900
2026-03-24,92.79,93.74,90.82,90.92,28938000
2026-03-25,91.71,92.52,91.24,92.28,29545600
2026-03-26,91.52,95.86,91.01,93.32,59522000
2026-03-27,94.57,95.58,92.74,93.43,44590700
2026-03-30,92.75,94.49,92.22,92.97,32375100
2026-03-31,93.03,96.26,93.03,96.15,54270000
2026-04-01,96.47,97.2,94.26,95.55,30439300
2026-04-02,95.27,98.71,95.17,98.66,37068000
2026-04-06,100.96,102.69,97.97,98.93,37029300
2026-04-07,98.55,99.88,98.25,98.82,25016700
2026-04-08,100.32,100.4,97.44,99.39,30957600
2026-04-09,99.63,102.34,99.08,102.05,35087800
2026-04-10,102.47,103.08,101.46,103.01,25769900
2026-04-13,103.03,103.67,102.06,103.16,26042800
2026-04-14,103.12,106.57,103.04,106.28,40534900
2026-04-15,105.98,107.85,105.04,107.71,38023700
2026-04-16,107.47,108.95,106.62,107.79,64928300
2026-04-17,96.37,98.74,95.1,97.31,125958700
2026-04-20,97.14,97.6,93.54,94.83,63298300
2026-04-21,94.0,94.65,92.37,92.58,61962300
2026-04-22,93.06,93.85,92.77,93.24,33694300
2026-04-23,94.06,94.64,92.07,92.82,36851700
2026-04-24,92.57,93.28,91.8,92.44,32553200
2026-04-27,92.05,92.84,91.3,91.37,29707400
2026-04-28,91.5,92.34,90.02,92.27,33418100
2026-04-29,91.23,92.86,90.86,92.12,26122100
2026-04-30,91.35,94.22,90.77,93.61,40923000
2026-05-01,94.42,94.7,91.9,92.06,30406900
2026-05-04,92.1,92.33,90.89,91.02,25928800
2026-05-05,91.18,91.28,87.57,87.89,51961300
2026-05-06,87.15,88.55,86.72,88.27,41932400
2026-05-07,88.2,89.4,88.13,88.25,30627600
2026-05-08,87.71,88.04,87.21,87.49,36215100
2026-05-11,86.53,87.34,85.1,85.45,40556500
2026-05-12,85.91,89.17,85.81,87.66,43556600
2026-05-13,86.57,88.62,86.28,87.56,30823500
2026-05-14,87.62,88.5,86.65,86.94,29408300
2026-05-15,87.69,89.49,86.69,87.02,32335700
2026-05-18,86.5,89.82,86.33,89.65,35800500
2026-05-19,90.14,91.48,88.69,89.33,34545700
2026-05-20,88.52,88.55,87.5,88.09,23463400
2026-05-21,88.03,90.37,87.52,89.3,28613900
2026-05-22,89.1,89.97,88.17,88.6,23847200
2026-05-26,88.4,88.73,87.25,87.68,24014500
2026-05-27,87.05,88.5,86.82,87.35,22569500
2026-05-28,86.9,87.04,85.59,86.36,38803800
2026-05-29,86.2,86.67,85.66,86.02,39793600
2026-06-01,85.73,87.23,85.32,85.85,32747200
2026-06-02,85.61,85.98,83.29,83.33,42947200
2026-06-03,82.91,83.31,81.1,81.52,36714700
2026-06-04,83.19,83.7,81.37,81.56,39338800
2026-06-05,82.33,82.75,81.0,82.18,43474100
2026-06-08,81.66,83.08,81.34,82.64,33056700
2026-06-09,82.13,82.34,81.34,81.41,34787200
2026-06-10,81.71,82.75,80.98,82.0,36304600
2026-06-11,81.87,82.1,80.09,81.27,33417600
2026-06-12,81.58,82.0,79.28,80.34,35309700
2026-06-15,80.62,81.71,80.46,81.67,36430800
2026-06-16,81.9,81.93,77.71,78.72,65054000
2026-06-17,78.1,78.45,76.76,76.96,50338800
2026-06-18,76.93,78.24,76.12,77.38,91920400
2026-06-22,76.14,77.09,71.81,72.88,82203300
2026-06-23,73.26,73.96,72.63,72.82,50806800
2026-06-24,72.69,73.45,71.63,71.84,48001500
2026-06-25,71.33,72.94,70.86,70.9,44446900
2026-06-26,71.69,75.2,71.53,73.81,74990300
2026-06-29,74.62,76.07,73.73,73.78,42429600
2026-06-30,73.59,73.75,71.0,71.4,49240900
2026-07-01,72.59,74.36,72.33,74.19,43841800
2026-07-02,75.09,78.44,74.91,77.65,55456500
2026-07-06,77.08,77.84,75.71,76.02,45056600
2026-07-07,77.88,78.19,76.1,76.18,33257300
2026-07-08,76.27,76.64,74.89,75.59,34373500
2026-07-09,74.3,75.55,74.02,75.47,36305700
2026-07-10,75.44,75.7,72.51,73.37,46594700
2026-07-13,73.9,75.45,73.9,74.75,14814616
