Date,Open,High,Low,Close,Volume
2026-02-18,188.75,190.37,186.76,187.98,164749100
2026-02-19,187.06,188.43,185.66,187.9,126554500
2026-02-20,186.57,190.33,185.94,189.82,178422300
2026-02-23,191.4,193.95,189.58,191.55,171584800
2026-02-24,191.49,193.77,187.4,192.85,175123600
2026-02-25,194.45,197.63,193.79,195.56,250637100
2026-02-26,194.27,194.29,184.32,184.89,360807900
2026-02-27,181.25,182.59,176.38,177.19,311636500
2026-03-02,175.01,183.46,174.64,182.48,209095300
2026-03-03,178.49,180.9,176.92,180.05,178099400
2026-03-04,180.44,184.7,180.06,183.04,177731200
2026-03-05,181.17,184.06,177.88,183.34,198779700
2026-03-06,179.84,182.76,176.82,177.82,189021900
2026-03-09,176.83,182.91,175.56,182.65,177213600
2026-03-10,182.4,186.44,182.01,184.77,179118500
2026-03-11,185.91,187.62,184.45,186.03,145280400
2026-03-12,184.05,184.94,181.75,183.14,155762700
2026-03-13,184.92,186.09,179.94,180.25,160988400
2026-03-16,182.97,188.88,181.41,183.22,217307400
2026-03-17,185.06,185.4,181.68,181.93,182497800
2026-03-18,182.48,183.38,180.33,180.4,156683100
2026-03-19,178.01,179.98,175.79,178.56,170968500
2026-03-20,178.0,178.26,171.72,172.7,241323500
2026-03-23,177.26,178.37,174.76,175.64,182836300
2026-03-24,174.83,176.22,173.98,175.2,147667800
2026-03-25,177.1,181.22,176.85,178.68,162602100
2026-03-26,176.07,176.51,171.14,171.24,186152200
2026-03-27,170.0,170.97,167.01,167.52,196212700
2026-03-30,168.78,169.45,164.27,165.17,185627000
2026-03-31,166.97,174.62,166.96,174.4,226181300
2026-04-01,176.0,177.37,174.75,175.75,168132000
2026-04-02,172.18,177.49,171.37,177.39,143143200
2026-04-06,177.16,177.79,175.76,177.64,107564300
2026-04-07,175.73,178.23,173.66,178.1,132534900
2026-04-08,184.5,185.26,180.3,182.08,147732700
2026-04-09,181.84,184.08,180.62,183.91,116428500
2026-04-10,184.31,190.0,184.3,188.63,160459500
2026-04-13,186.03,189.66,185.74,189.31,133648200
2026-04-14,190.84,196.51,190.77,196.51,161307000
2026-04-15,196.54,200.4,195.74,198.87,185338400
2026-04-16,197.43,199.85,195.81,198.35,134012900
2026-04-17,199.9,201.7,199.27,201.68,160324400
2026-04-20,199.98,202.17,197.84,202.06,119381400
2026-04-21,202.13,202.75,199.0,199.88,107945300
2026-04-22,200.99,202.5,199.0,202.5,107501000
2026-04-23,202.46,203.83,197.22,199.64,113561800
2026-04-24,199.96,210.95,199.81,208.27,214134400
2026-04-27,209.65,216.83,207.38,216.61,187172400
2026-04-28,209.49,214.73,208.2,213.17,180275400
2026-04-29,212.7,212.72,207.58,209.25,123711800
2026-04-30,209.93,210.3,198.7,199.57,225239200
2026-05-01,201.28,203.0,197.12,198.45,128647000
2026-05-04,199.5,201.73,194.74,198.48,125368100
2026-05-05,199.3,200.24,196.03,196.5,113406600
2026-05-06,199.89,208.27,198.61,207.83,188362800
2026-05-07,208.34,214.2,206.5,211.5,168307900
2026-05-08,213.03,217.8,212.89,215.2,136421400
2026-05-11,214.04,222.3,213.89,219.44,160685800
2026-05-12,218.55,223.75,214.92,220.78,159176600
2026-05-13,224.93,227.84,221.57,225.83,150405400
2026-05-14,229.85,236.54,229.3,235.74,180782900
2026-05-15,229.76,231.5,224.24,225.32,180977600
2026-05-18,229.87,230.0,218.37,222.32,146280900
2026-05-19,219.62,224.48,217.91,220.61,140948200
2026-05-20,223.18,226.13,220.5,223.47,184201600
2026-05-21,222.29,227.4,217.93,219.51,203381800
2026-05-22,220.9,221.01,214.8,215.33,169275700
2026-05-26,216.54,218.18,212.0,214.86,187202600
2026-05-27,214.12,214.15,208.78,212.6,167601200
2026-05-28,211.28,215.52,211.22,214.25,143996000
2026-05-29,214.58,217.86,211.13,211.14,289410600
2026-06-01,215.73,224.87,215.7,224.36,212850700
2026-06-02,227.18,232.28,221.35,222.82,193362900
2026-06-03,221.72,222.82,214.51,214.75,160907000
2026-06-04,213.91,221.6,210.97,218.66,169022200
2026-06-05,214.53,214.87,204.33,205.1,219655500
2026-06-08,210.18,210.47,206.0,208.64,138372800
2026-06-09,210.62,211.4,199.34,208.19,180962500
2026-06-10,204.43,207.22,199.92,200.42,161746600
2026-06-11,201.49,205.66,199.54,204.87,158643200
2026-06-12,204.86,207.07,203.44,205.19,112001800
2026-06-15,208.92,212.71,208.34,212.45,149936700
2026-06-16,211.18,211.49,207.29,207.41,125694100
2026-06-17,208.53,209.21,203.08,204.65,128363500
2026-06-18,207.33,211.39,206.5,210.69,241272000
2026-06-22,211.44,213.99,207.72,208.65,122041400
2026-06-23,202.17,203.77,200.0,200.04,153496200
2026-06-24,200.12,201.67,196.58,199.0,151810700
2026-06-25,200.08,200.8,192.13,195.74,149550000
2026-06-26,193.12,195.55,191.22,192.53,179304100
2026-06-29,193.85,196.18,189.8,194.97,148835700
2026-06-30,197.24,200.63,195.11,200.09,166476700
2026-07-01,196.2,199.85,193.45,197.58,146147600
2026-07-02,197.14,200.06,192.35,194.83,142068700
2026-07-06,194.42,197.55,193.99,195.55,108999000
2026-07-07,192.37,198.41,191.14,196.93,124154600
2026-07-08,195.18,205.16,195.06,204.12,147419100
2026-07-09,204.46,204.59,198.96,202.78,132037400
2026-07-10,202.0,211.0,201.92,210.96,148124000
2026-07-13,208.54,210.57,206.64,207.3,42237404
